24/8/1993	1993-08-24
28/08/2013 at 08:26	2013-08-28T08:26
29.10.63	2063-10-29
17/7/2062	2062-07-17
7/11/62	2062-07-11
18/7/2062	2062-07-18
2062	2062
16/7/62	2062-07-16
3/2/2024	2024-03-02
16/7/2062	2062-07-16
12:00pm 14.5.12	2012-05-14T12:00
17.7.62	2062-07-17
30/1/2009	2009-01-30
14/05/2012 at 16:28	2012-05-14T16:28
17.7.62	2062-07-17
30/1/2009	2009-01-30
11/07/2013 at 18:30	2013-07-11T18:30
5/2/1994	1994-02-05
16/05/2012 at 12:56	2012-05-16T12:56
19.7.62	2062-07-19
17/3/2017	2017-03-17
16/05/2012 at 13:24	2012-05-16T13:24
1.45pm on 16/5/12	2012-05-16T13:45
19.7.62	2062-07-19
/7/62	2062-07
24/4/1981	1981-04-24
21/05/2012 at 09:07	2012-05-21T09:07
23 7.62	2062-07-23
24/4/1981	1981-04-24
24.12.62	2062-12-24
5/12/1984	1984-12-05
4/2/2063	2063-02-04
5.2.63	2063-02-05
8/6/1993	1993-08-06
05/09/2013 at 13:00	2013-09-05T13:00
11.8.63	2063-11-08
20/2/2001	2001-02-20
2/12/2063	2063-02-12
12:47pm on 10.12.13	2013-12-10T12:47
13.2.63	2063-02-13
8/2/2063	2063-02-08
4:51pm on 2/12/13	2013-12-02T16:51
5.2.63	2063-02-05
24/7/1994	1994-07-24
04/12/2013 at 09:08	2013-12-04T09:08
2/6/63	2063-02-06
2/7/63	2063-02-07
8/9/1990	1990-09-08
09/12/2013 at 09:26	2013-12-09T09:26
13.2.2063	2063-02-13
11.2.63	2063-02-11
13.2.2063	2063-02-13
2/12/2063	2063-02-12
2.7.63	2063-02-07
2/12/2063	2063-02-12
8/7/1997	1997-07-08
18/2/2063	2063-02-18
18.2.63	2063-02-18
19.2.63	2063-02-19
2/9/1986	1986-02-09
14/2/2063	2063-02-14
12th of December 2013 at 1740	2013-12-12T17:40
5:58pm on the 12th of December 2013	2013-12-12T17:58
15.2.63	2063-02-15
3/4/2005	2005-04-03
22.2.63	2063-02-22
1/1/2063	2063-01-01
29th of January 2063	2063-01-29
30.1.63	2063-01-30
27/5/2063	2063-05-27
24/5/63	2063-05-24
1/10/2063	2063-01-10
1.9.63	2063-01-09
25/12/1974	1974-12-25
16/11/2012 at 16:43	2012-11-16T16:43
21.1.62	2062-01-21
25/12/1974	1974-12-25
29/08/2013 at15:18	2013-08-29T15:18
10/2/63	2063-10-02
22/2/2062	2062-02-22
20.2.62	2062-02-20
22.2.2062	2062-02-22
12/12/1997	1997-12-12
03/12/2012 at 19:07	2012-12-03T19:07
2/6/62	2062-02-06
26/2/2062	2062-02-26
19/6/2036	2036-06-19
06/12/2012 at 12:37	2013-12-06T12:37
9.2.62	2062-02-09
20.2.62	2062-02-20
20/2/62	2062-02-20
27/12/2018	2018-12-27
11/12/2012 at 20:04	2012-12-11T20:04
3.4.63	2063-03-04
13.2.62	2062-02-13
16.2.2062	2062-02-16
3.4.63	2063-03-04
29/7/2025	2025-07-29
16.2.62	2062-02-16
5/5/1997	1997-05-05
21/12/2012 at 09:09	2012-12-21T09:09
23.2.62	2062-02-23
3/4/63	2063-03-04
3/5/63	2063-03-05
23/2/2062	2062-02-23
21.2.62	2062-02-21
16/4/1996	1996-04-16
23/07/2013 at 08:49	2013-07-23T08:49
25.9.63	2063-09-25
2/1/2062	2062-02-01
26.2.62	2062-02-26
20/2/2062	2062-02-20
16.2.62	2062-02-16
22/11/2062	2062-11-22
21.11.62	2062-11-21
15/9/1999	1999-09-15
12/5/2062	2062-12-05
12/6/62	2062-12-06
3/12/2031	2031-03-12
07/11/2012 at 15:04	2012-11-07T15:04
1.10.62	2062-01-10
10/7/2063	2063-10-07
10.7.2063	2063-10-07
1.10.62	2062-01-10
10.7.2063	2063-10-07
4/4/2005	2005-04-04
30/10/2012 at 09:05	2012-10-30T09:05
15.1.62	2062-01-15
2/12/62	2062-12-02
3/12/62	2062-12-03
15.1.62	2062-01-15
27/7/1995	1995-07-27
24/09/2012 at 17:25	2012-09-24T17:25
28.11.62	2062-11-28
11.2.62	2062-02-11
13/6/1991	1991-06-13
21/11/2062	2062-11-21
22.11.62	2062-11-22
27/6/1998	1998-06-27
15/08/2012 at 12:02	2012-08-15T12:02
18.10.62	2062-10-18
10/3/1999	1999-03-10
14/03/2013 at 09:13	013-03-14T09:13
16/5/63	2063-05-16
20.5.2063	2063-05-20
11/12/1995	1995-11-12
05/12/2012 at 13:59	2012-12-05T13:59
2.8.62	2062-02-08
10/7/2000	2000-07-10
07/06/2006 at 12:10	2006-06-07T12:10
five years	P5Y
10.8.56	2056-08-10
2/6/2063	2063-02-06
2/5/63	2063-02-05
2/7/2063	2063-02-07
2.5.63	2063-02-05
18/7/2001	2001-07-18
23/12/2013 at 08:41	2013-12-23T08:41
25.2.63	2063-02-25
3/3/2040	2040-03-03
20/2/2063	2063-02-20
21.2.63	2063-02-21
4/3/64	2064-03-04
1/5/2032	2032-01-05
18/12/2013 at 14:47	2013-12-18T14:47
19.2.63	2063-02-19
21/2/2063	2063-02-21
20.2.63	2063-02-20
1/9/2031	2031-01-09
18/12/2013 at 11:27	2013-12-18T11:27
12:50 on 18.12.13	2013-12-18T12:50
21.2.63	2063-02-21
16/12/1990	1990-12-16
18/2/2063	2063-02-18
1300 hours on the 16th of December 2013	2013-12-16T13:00
19.2.63	2063-02-19
24/4/2063	2063-04-24
22.4.63	2063-04-22
4:05pm on 20.2.13	2013-02-20T16:05
23.4.63	2063-04-23
25/2/2063	2063-02-25
20.2.63	2063-02-20
9/6/1997	1997-06-09
12/12/2013 at 16:16	2013-12-12T16:16
15.2.63	2063-02-15
15.2.63	2063-02-15
19.2.63	2063-02-19
15/2/2063	2063-02-15
2055	2055
14.2.63	2063-02-14
12/10/1987	1987-10-12
12/12/2013 at 08:36	2013-12-12T08:36
14/2/63	2063-02-14
11/3/1997	1997-03-11
18/2/2063	2063-02-18
2059	2059
18/2/63	2063-02-18
19/2/2063	2063-02-19
18.2.63	2063-02-18
24/4/1982	1982-04-24
06/12/2013 at 08:22	2013-12-06T08:22
2.8.63	2063-02-08
