15/11/2004	2004-11-15
20/5/2064	2064-05-20
2059	2059
2059	2059
9:30am on 18/3/14	2014-03-18T09:30
21/5/64	2064-05-21
30.5.64	2064-05-30
7/12/1999	1999-12-07
21/03/2014 at 13:26	2014-03-21T13:26
27/5/64	2064-05-27
29/9/2000	2000-09-29
18/03/2014 at 19:04	2014-03-18T19:04
2/10/2062	2062-02-10
16/1/2062	2062-01-16
23/5/64	2064-05-23
7/12/2004	2004-07-12
26/5/2064	2064-05-26
27/5/64	2064-05-27
11/5/2032	2032-05-11
21/5/2064	2064-05-21
10.17 on 19.03.14	2014-03-19T10:17
22.5.64	2064-05-22
30/5/2064	2064-05-30
29.5.64	2064-05-29
29/5/2064	2064-05-29
27.5.64	2064-05-27
previous	2064-05-27
27/5/2064	2064-05-27
4:15pm on 20.3.14	2014-03-20T16:15
23.5.64	2064-05-23
22/5/2064	2064-05-22
22/5/2064	2064-05-22
20/12/2013	2013-12-20
12/03/2014 at 11:14	2014-03-12T11:14
3.5.2064	2064-05-03
15.5.64	2064-05-15
5/3/2064	2064-05-03
30.5.64	2064-05-30
5.7.64	2064-05-07
5/3/2064	2064-05-03
28.5.64	2064-05-28
20/11/2021	2021-11-20
20/03/2014 at 10:30	2014-03-20T10:30
10:10hrs on 20/3/14	2014-03-20T10:10
1155Hrs	2014-03-20T11:55
1310Hrs	2014-03-20T13:10
26/5/64	2064-05-26
29/5/2064	2064-05-29
27.5.64	2064-05-27
3/6/2064	2064-06-03
28.5.64	2064-05-28
3/6/2064	2064-06-03
21/12/2007	2007-12-21
29/5/2064	2064-05-29
30.5.64	2064-05-30
5.7.64	2064-05-07
6.3.64	2064-06-03
8/3/2004	2004-03-08
9/10/2063	2063-10-09
9.50am on 07.08.13	2013-08-07T09:50
10.10.63	2063-10-10
6/3/2008	2008-03-06
29/05/2013 at 10:37	2013-05-29T10:37
6.8.63	2063-08-06
2 years	P2Y
2.7.63	2063-07-02
6.8.63	2063-08-06
30/3/1999	1999-03-30
18/9/2063	2063-09-18
19.9.63	2063-09-19
22/10/2063	2063-10-22
10/1/2063	2063-10-01
1/1/2020	2020-01-01
28/10/2063	2063-10-28
29.10.63	2063-10-29
23/2/1983	1983-02-23
17.7.63	2063-07-17
22/6/2003	2003-06-22
17/3/2063	2063-03-17
3.9.63	2063-09-03
18.3.63	2063-03-18
3.9.63	2063-09-03
4/12/1997	1997-04-12
24/5/2063	2063-05-24
27.5.63	2063-05-27
28/10/1994	1994-10-28
8/6/2063	2063-08-06
8/7/63	2063-08-07
28.8.63	2063-08-28
7/12/2004	2004-07-12
26/5/2064	2064-05-26
27/5/64	2064-05-27
6.4.64	2064-06-04
5.3.64	2064-05-03
1/5/1989	1989-05-01
21/08/2013 at 14:42	2013-08-21T14:42
24/10/63	2063-10-24
8/3/1999	1999-08-03
04/06/2013 at 13:36	2013-06-04T13:36
17.9.63	2063-09-17
8.7.63	2063-08-07
8.8.63	2063-08-08
17.9.63	2063-09-17
27/1/2000	2000-01-27
04/07/2012 at 18:35	2012-07-04T18:35
7/9/62	2062-09-07
5/11/1999	1999-11-05
